country,government
Aruba,Nonmetropolitan Territory of The Netherlands
Afghanistan,Islamic Emirate
Angola,Republic
Anguilla,Dependent Territory of the UK
Albania,Republic
Andorra,Parliamentary Coprincipality
Netherlands Antilles,Nonmetropolitan Territory of The Netherlands
United Arab Emirates,Emirate Federation
Argentina,Federal Republic
Armenia,Republic
American Samoa,US Territory
Antarctica,Co-administrated
French Southern territories,Nonmetropolitan Territory of France
Antigua and Barbuda,Constitutional Monarchy
Australia,Federation Constitutional Monarchy
Austria,Federal Republic
Azerbaijan,Federal Republic
Burundi,Republic
Belgium,Federation Constitutional Monarchy
Benin,Republic
Burkina Faso,Republic
Bangladesh,Republic
Bulgaria,Republic
Bahrain,Monarchy (Emirate)
Bahamas,Constitutional Monarchy
Bosnia and Herzegovina,Federal Republic
Belarus,Republic
Belize,Constitutional Monarchy
Bermuda,Dependent Territory of the UK
Bolivia,Republic
Brazil,Federal Republic
Barbados,Constitutional Monarchy
Brunei,Monarchy (Sultanate)
Bhutan,Monarchy
Bouvet Island,Dependent Territory of Norway
Botswana,Republic
Central African Republic,Republic
Canada,"Constitutional Monarchy, Federation"
Cocos (Keeling) Islands,Territory of Australia
Switzerland,Federation
Chile,Republic
China,People's Republic
Ivory Coast,Republic
Cameroon,Republic
"Congo, The Democratic Republic of the",Republic
Congo,Republic
Cook Islands,Nonmetropolitan Territory of New Zealand
Colombia,Republic
Comoros,Republic
Cape Verde,Republic
Costa Rica,Republic
Cuba,Socialistic Republic
Christmas Island,Territory of Australia
Cayman Islands,Dependent Territory of the UK
Cyprus,Republic
Czech Republic,Republic
Germany,Federal Republic
Djibouti,Republic
Dominica,Republic
Denmark,Constitutional Monarchy
Dominican Republic,Republic
Algeria,Republic
Ecuador,Republic
Egypt,Republic
Eritrea,Republic
Western Sahara,Occupied by Marocco
Spain,Constitutional Monarchy
Estonia,Republic
Ethiopia,Republic
Finland,Republic
Fiji Islands,Republic
Falkland Islands,Dependent Territory of the UK
France,Republic
Faroe Islands,Part of Denmark
"Micronesia, Federated States of",Federal Republic
Gabon,Republic
United Kingdom,Constitutional Monarchy
Georgia,Republic
Ghana,Republic
Gibraltar,Dependent Territory of the UK
Guinea,Republic
Guadeloupe,Overseas Department of France
Gambia,Republic
Guinea-Bissau,Republic
Equatorial Guinea,Republic
Greece,Republic
Grenada,Constitutional Monarchy
Greenland,Part of Denmark
Guatemala,Republic
French Guiana,Overseas Department of France
Guam,US Territory
Guyana,Republic
Hong Kong,Special Administrative Region of China
Heard Island and McDonald Islands,Territory of Australia
Honduras,Republic
Croatia,Republic
Haiti,Republic
Hungary,Republic
Indonesia,Republic
India,Federal Republic
British Indian Ocean Territory,Dependent Territory of the UK
Ireland,Republic
Iran,Islamic Republic
Iraq,Republic
Iceland,Republic
Israel,Republic
Italy,Republic
Jamaica,Constitutional Monarchy
Jordan,Constitutional Monarchy
Japan,Constitutional Monarchy
Kazakstan,Republic
Kenya,Republic
Kyrgyzstan,Republic
Cambodia,Constitutional Monarchy
Kiribati,Republic
Saint Kitts and Nevis,Constitutional Monarchy
South Korea,Republic
Kuwait,Constitutional Monarchy (Emirate)
Laos,Republic
Lebanon,Republic
Liberia,Republic
Libyan Arab Jamahiriya,Socialistic State
Saint Lucia,Constitutional Monarchy
Liechtenstein,Constitutional Monarchy
Sri Lanka,Republic
Lesotho,Constitutional Monarchy
Lithuania,Republic
Luxembourg,Constitutional Monarchy
Latvia,Republic
Macao,Special Administrative Region of China
Morocco,Constitutional Monarchy
Monaco,Constitutional Monarchy
Moldova,Republic
Madagascar,Federal Republic
Maldives,Republic
Mexico,Federal Republic
Marshall Islands,Republic
Macedonia,Republic
Mali,Republic
Malta,Republic
Myanmar,Republic
Mongolia,Republic
Northern Mariana Islands,Commonwealth of the US
Mozambique,Republic
Mauritania,Republic
Montserrat,Dependent Territory of the UK
Martinique,Overseas Department of France
Mauritius,Republic
Malawi,Republic
Malaysia,Constitutional Monarchy
Mayotte,Territorial Collectivity of France
Namibia,Republic
New Caledonia,Nonmetropolitan Territory of France
Niger,Republic
Norfolk Island,Territory of Australia
Nigeria,Federal Republic
Nicaragua,Republic
Niue,Nonmetropolitan Territory of New Zealand
Netherlands,Constitutional Monarchy
Norway,Constitutional Monarchy
Nepal,Constitutional Monarchy
Nauru,Republic
New Zealand,Constitutional Monarchy
Oman,Monarchy (Sultanate)
Pakistan,Republic
Panama,Republic
Pitcairn,Dependent Territory of the UK
Peru,Republic
Philippines,Republic
Palau,Republic
Papua New Guinea,Constitutional Monarchy
Poland,Republic
Puerto Rico,Commonwealth of the US
North Korea,Socialistic Republic
Portugal,Republic
Paraguay,Republic
Palestine,Autonomous Area
French Polynesia,Nonmetropolitan Territory of France
Qatar,Monarchy
Reunion,Overseas Department of France
Romania,Republic
Russian Federation,Federal Republic
Rwanda,Republic
Saudi Arabia,Monarchy
Sudan,Islamic Republic
Senegal,Republic
Singapore,Republic
South Georgia and the South Sandwich Islands,Dependent Territory of the UK
Saint Helena,Dependent Territory of the UK
Svalbard and Jan Mayen,Dependent Territory of Norway
Solomon Islands,Constitutional Monarchy
Sierra Leone,Republic
El Salvador,Republic
San Marino,Republic
Somalia,Republic
Saint Pierre and Miquelon,Territorial Collectivity of France
Sao Tome and Principe,Republic
Suriname,Republic
Slovakia,Republic
Slovenia,Republic
Sweden,Constitutional Monarchy
Swaziland,Monarchy
Seychelles,Republic
Syria,Republic
Turks and Caicos Islands,Dependent Territory of the UK
Chad,Republic
Togo,Republic
Thailand,Constitutional Monarchy
Tajikistan,Republic
Tokelau,Nonmetropolitan Territory of New Zealand
Turkmenistan,Republic
East Timor,Administrated by the UN
Tonga,Monarchy
Trinidad and Tobago,Republic
Tunisia,Republic
Turkey,Republic
Tuvalu,Constitutional Monarchy
Taiwan,Republic
Tanzania,Republic
Uganda,Republic
Ukraine,Republic
United States Minor Outlying Islands,Dependent Territory of the US
Uruguay,Republic
United States,Federal Republic
Uzbekistan,Republic
Holy See (Vatican City State),Independent Church State
Saint Vincent and the Grenadines,Constitutional Monarchy
Venezuela,Federal Republic
British,Dependent Territory of the UK
Virgin Islands,
U.S.,US Territory
Vietnam,Socialistic Republic
Vanuatu,Republic
Wallis and Futuna,Nonmetropolitan Territory of France
Samoa,Parlementary Monarchy
Yemen,Republic
Yugoslavia,Federal Republic
South Africa,Republic
Zambia,Republic
Zimbabwe,Republic
